item,user,rating,timestamp
098949232X,A1GG51FWU0XQYH,5,1416355200
098949232X,AVFIDS9RK38E0,5,1416355200
098949232X,A2S4AVR5SJ7KMI,5,1416355200
098949232X,AEMMMVOR9BFLI,5,1416355200
098949232X,A2DZXMBTY7KLYP,5,1416355200
098949232X,AUD367H6I25FX,5,1416355200
098949232X,A3K6KUWAZ6SWHE,5,1416355200
098949232X,A1FPEO0ME9G4VY,5,1416355200
098949232X,A20AOY7UXJA710,5,1424390400
098949232X,A222LHL23AH0GK,5,1423785600
098949232X,AZSP9XAX38DG0,5,1423440000
098949232X,A1N5IO8FW9EE6R,5,1423267200
098949232X,A1QI7X0NQ1PUHD,5,1422835200
098949232X,A3SF5P30FK4Y5Y,5,1422748800
098949232X,A3KZZYLU5VT4VJ,5,1422316800
098949232X,ALK31UO248EH1,5,1422316800
098949232X,AP5I1RWKMQ6BT,5,1421971200
098949232X,A1TKWOUJB8OE8T,5,1421884800
098949232X,A1VKQUQJHJRA3F,5,1421884800
098949232X,A1399ZMDHQ1YH,5,1421712000
098949232X,A3RCQQS12E8HWO,3,1421712000
098949232X,AYPWQCYGKV62P,5,1421625600
098949232X,A2IV672K2N6CRV,5,1421539200
098949232X,A3LL8G3809MMDA,5,1421193600
098949232X,A29WEEXFOTK9JE,2,1421107200
098949232X,A147XLNBYU8THP,5,1421020800
098949232X,A2YJUJFY87HISE,5,1421020800
098949232X,A380EKJDMSWMB4,5,1420761600
098949232X,A2ZOZPDM2RR7S2,5,1420761600
098949232X,A2K5QCB5R7XE3V,5,1420675200
098949232X,A2VX8M6U3PMBM,5,1420416000
098949232X,A1PL17QT137YK0,4,1420070400
098949232X,A1VOUBLE55X39P,5,1419897600
098949232X,A3S3X0Q1VM15SL,5,1419379200
098949232X,A1ALMQ15D6V8VV,5,1419206400
098949232X,A1NZ2Z6Z518UBH,5,1418601600
098949232X,AH648WQ7CVM9X,5,1418083200
098949232X,A3575R37GXX67W,5,1417996800
098949232X,AK7QWUSSUT6KS,5,1417824000
098949232X,ATE9ACF6M2WSS,5,1417651200
098949232X,A2D2IJ76IZ98UF,5,1417564800
098949232X,A20ODTFAQA5VF1,5,1417564800
098949232X,A2PJY7ZP04Z23V,5,1417392000
098949232X,A686YHH09WUE3,5,1417392000
098949232X,A3958PLQ96OCPN,4,1417392000
098949232X,A10SN1SQ507562,5,1417392000
098949232X,A1PM6O509SL9TQ,5,1417305600
098949232X,A3220L80V20MUI,5,1417219200
098949232X,A281LG8W1UWMVZ,5,1417132800
